Rk,Player,Nation,Pos,Squad,League,Age,MP,Min,GoalsPer90,GoalsPerShoot,PKGoals,PKAttempted,PKGoals%,Goals,OwnGoals,Assist,Pass,PassCompleted,PassComp%,PassGround,PassLow,PassHigh,PassDistanceYard,Cross,CrossCompleted,CrossComp%,TackleWon,TackleComm,TackleLost,TackleWon%,SuccDribble,Dribble,DribbleComp%,YellowCards,RedCards,FoulsComm,FoulsDrawn,AerWon,AerLost,AerWon%
1478,Bryan Lasme,FRA,FW,Arminia,Bundesliga,23,23,877,0.21,0.14,0,0,0.0,2,0,0,197,122,61.93,101,56,40,1897,16,4,25.0,4,6,2,66.67,10,27,37.04,2,0,15,10,38,40,48.76
1479,Paul Lasne,FRA,MF,Brest,Ligue 1,33,15,847,0.0,0.0,0,0,0.0,0,0,1,424,356,83.96,328,43,53,6539,6,1,16.67,10,23,13,43.48,3,5,60.0,1,0,11,17,7,8,46.54
1480,Latasa,ESP,FW,Real Madrid,La Liga,21,1,9,0.0,0.0,0,0,0.0,0,0,0,5,4,80.0,4,1,0,37,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,100.0
1481,Toni Lato,ESP,DFMF,Valencia,La Liga,24,11,590,0.0,0.0,0,0,0.0,0,0,1,310,234,75.48,147,81,82,4605,17,2,11.76,6,12,6,50.0,8,10,80.0,5,0,13,8,10,20,33.41
1482,Armand Lauriente,FRA,FWMF,Lorient,Ligue 1,23,35,2477,0.22,0.06,1,1,100.0,6,0,2,723,564,78.01,556,90,77,9067,40,14,35.0,29,39,10,74.36,38,81,46.91,5,0,44,46,13,35,27.01
1483,Darko Lazovi?,SRB,DF,Hellas Verona,Serie A,31,34,2766,0.03,0.02,0,0,0.0,1,0,7,1544,1099,71.18,817,405,322,19326,93,14,15.05,19,39,20,48.72,31,63,49.21,2,0,15,11,17,17,50.0
1484,Manuel Lazzari,ITA,DF,Lazio,Serie A,28,31,1665,0.16,0.25,0,0,0.0,3,0,3,1032,884,85.66,718,218,97,13427,46,6,13.04,14,31,17,45.16,30,55,54.55,3,0,18,47,10,19,34.39
1485,Théo Le Bris,FRA,MF,Lorient,Ligue 1,19,4,61,0.0,0.0,0,0,0.0,0,0,0,16,12,75.0,9,3,4,149,0,0,0.0,2,2,0,100.0,0,0,0.0,0,0,0,0,1,2,33.33
1486,Jérémy Le Douaron,FRA,FW,Brest,Ligue 1,24,32,1446,0.31,0.14,0,0,0.0,5,0,3,316,204,64.56,198,52,65,2756,28,5,17.86,8,10,2,80.0,12,38,31.58,0,0,22,33,38,61,38.37
1487,Enzo Le Fée,FRA,MFFW,Lorient,Ligue 1,22,36,2194,0.04,0.03,0,0,0.0,1,0,3,1213,956,78.81,861,132,220,18190,33,9,27.27,47,69,22,68.12,40,81,49.38,2,0,34,55,13,23,36.05
1488,Vincent Le Goff,FRA,DF,Lorient,Ligue 1,32,34,3060,0.03,0.04,0,0,0.0,1,0,1,1839,1448,78.74,1064,435,338,25510,65,12,18.46,40,69,29,57.97,18,24,75.0,1,0,29,21,16,41,27.98
1489,Maxime Le Marchand,FRA,DF,Strasbourg,Ligue 1,32,12,860,0.1,0.33,0,0,0.0,1,0,1,547,480,87.75,399,39,109,10251,2,1,50.0,5,18,13,27.78,1,1,100.0,4,0,10,2,15,10,60.0
1490,Robin Le Normand,FRA,DF,Real Sociedad,La Liga,25,37,3330,0.03,0.06,0,0,0.0,1,0,1,2109,1887,89.47,1684,137,289,40929,0,0,0.0,27,46,19,58.7,3,4,75.0,6,0,41,22,143,53,72.97
1491,Patrick Leal,USA,MF,Venezia,Serie A,19,1,2,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
1492,Rafael Leão,POR,FW,Milan,Serie A,22,34,2605,0.38,0.11,0,0,0.0,11,0,10,806,578,71.71,555,132,119,10387,69,9,13.04,18,23,5,78.26,95,166,57.23,4,0,29,49,36,44,45.13
1493,Jean-Louis Leca,FRA,GK,Lens,Ligue 1,36,27,2313,0.0,0.0,0,0,0.0,0,0,0,732,555,75.82,419,30,285,14873,0,0,0.0,0,0,0,0.0,0,0,0.0,3,1,1,3,0,0,0.0
1494,Jeremías Ledesma,ARG,GK,Cádiz,La Liga,29,38,3420,0.0,0.0,0,0,0.0,0,0,0,1155,604,52.29,289,36,832,26577,0,0,0.0,0,0,0,0.0,1,1,100.0,4,0,2,9,1,0,100.0
1495,Pierre Lees-Melou,FRA,MF,Norwich City,Premier League,29,33,2265,0.04,0.03,0,0,0.0,1,0,0,1033,816,78.99,635,177,222,16022,30,9,30.0,40,65,25,61.54,15,33,45.45,5,0,50,25,15,23,39.74
1496,Wu Lei,CHN,FWMF,Espanyol,La Liga,30,23,474,0.19,0.14,0,0,0.0,1,0,0,101,72,71.29,49,28,24,1077,4,0,0.0,4,4,0,100.0,2,8,25.0,0,0,7,6,12,17,41.32
1497,Maxim Leitsch,GER,DF,Bochum,Bundesliga,24,19,1538,0.06,0.2,0,0,0.0,1,0,0,805,681,84.6,587,73,146,15694,5,2,40.0,16,23,7,69.57,2,4,50.0,2,0,8,1,44,29,60.19
1498,Lucas Leiva,BRA,MF,Lazio,Serie A,35,35,1697,0.0,0.0,0,0,0.0,0,0,0,1244,1145,92.04,1030,105,108,19607,3,1,33.33,35,59,24,59.32,3,5,60.0,9,0,43,19,29,20,59.07
1499,Florian Lejeune,FRA,DF,Alavés,La Liga,31,30,2699,0.0,0.0,0,0,0.0,0,0,0,1161,927,79.84,696,103,363,25701,4,0,0.0,21,38,17,55.26,4,7,57.14,9,1,37,4,91,47,65.87
1500,Iñigo Lekue,ESP,DF,Athletic Club,La Liga,29,25,1925,0.0,0.0,0,0,0.0,0,0,2,1207,886,73.41,584,255,368,16767,48,11,22.92,25,41,16,60.98,15,31,48.39,3,0,22,12,23,23,50.0
1501,Thomas Lemar,FRA,MF,Atlético Madrid,La Liga,26,24,1440,0.25,0.14,0,0,0.0,4,0,5,810,637,78.64,549,106,155,11003,54,14,25.93,16,26,10,61.54,31,51,60.78,2,0,14,28,14,12,53.99
1502,Félix Lemaréchal,CIV,MF,Monaco,Ligue 1,18,1,9,0.0,0.0,0,0,0.0,0,0,0,15,12,80.0,12,1,2,202,0,0,0.0,0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,0.0
1503,Mario Lemina,GAB,MF,Nice,Ligue 1,28,32,1967,0.09,0.13,0,0,0.0,2,0,0,1194,1053,88.19,975,99,120,20862,6,1,16.67,44,71,27,61.97,24,32,75.0,7,1,39,27,28,13,68.45
1504,Fabien Lemoine,FRA,MF,Lorient,Ligue 1,35,21,1117,0.0,0.0,0,0,0.0,0,0,1,877,777,88.6,651,100,126,15153,4,1,25.0,28,39,11,71.79,8,13,61.54,5,0,28,19,10,11,47.65
1505,Tim Lemperle,GER,FWMF,Köln,Bundesliga,20,13,149,1.18,0.29,0,0,0.0,2,0,0,61,40,65.57,42,13,6,539,4,1,25.0,4,5,1,80.0,6,9,66.67,0,0,5,2,4,12,24.97
1506,Ruben Lendinez,ESP,DF,Valencia,La Liga,19,4,137,0.0,0.0,0,0,0.0,0,0,0,51,41,80.39,34,3,14,890,0,0,0.0,5,6,1,83.33,0,0,0.0,2,0,3,0,2,0,100.0
1507,Clément Lenglet,FRA,DF,Barcelona,La Liga,26,21,826,0.0,0.0,0,0,0.0,0,0,1,815,740,90.8,670,51,94,15935,0,0,0.0,13,18,5,72.22,1,3,33.33,4,0,20,5,22,28,44.01
1508,Aaron Lennon,ENG,MF,Burnley,Premier League,35,28,1551,0.12,0.17,0,0,0.0,2,0,0,384,255,66.41,255,55,75,3762,30,2,6.67,18,38,20,47.37,15,37,40.54,2,0,23,25,10,26,27.75
1509,Bernd Leno,GER,GK,Arsenal,Premier League,30,4,360,0.0,0.0,0,0,0.0,0,0,0,111,72,64.86,47,4,60,2043,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
1510,Christopher Lenz,GER,DF,Eint Frankfurt,Bundesliga,27,15,664,0.0,0.0,0,0,0.0,0,0,1,518,376,72.59,295,91,132,7289,17,2,11.76,12,28,16,42.86,2,4,50.0,6,0,16,5,17,12,58.67
1511,Léo Leroy,FRA,MF,Montpellier,Ligue 1,22,24,626,0.0,0.0,0,0,0.0,0,0,0,322,263,81.68,253,34,35,4606,3,0,0.0,15,29,14,51.72,10,19,52.63,3,0,27,4,9,7,56.33
1512,Alexandre Letellier,FRA,GK,Paris S-G,Ligue 1,31,1,8,0.0,0.0,0,0,0.0,0,0,0,3,3,100.0,3,0,0,55,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
1513,Robert Lewandowski,POL,FW,Bayern Munich,Bundesliga,33,34,2946,1.07,0.19,5,5,100.0,35,0,3,768,589,76.69,572,112,86,8368,29,3,10.34,8,11,3,72.73,34,65,52.31,2,0,25,44,70,73,48.97
1514,Jamie Leweling,GER,FWDF,Greuther Fürth,Bundesliga,21,33,1959,0.23,0.11,0,0,0.0,5,0,1,423,279,65.96,292,71,61,4687,40,3,7.5,10,18,8,55.56,42,80,52.5,3,0,18,52,19,73,20.62
1515,Jamal Lewis,NIR,DF,Newcastle Utd,Premier League,24,5,262,0.0,0.0,0,0,0.0,0,0,0,103,81,78.64,56,23,24,1454,3,0,0.0,6,11,5,54.55,0,2,0.0,1,0,2,3,2,6,25.0
1516,Luca Lezzerini,ITA,GK,Venezia,Serie A,27,6,495,0.0,0.0,0,0,0.0,0,0,0,197,155,78.68,114,9,74,4340,0,0,0.0,0,0,0,0.0,0,0,0.0,2,0,0,1,0,0,0.0
1517,Ben Lhassine Kone,CIV,MF,Torino,Serie A,22,1,81,0.0,0.0,0,0,0.0,0,0,0,36,30,83.33,30,1,5,637,0,0,0.0,2,3,1,66.67,0,0,0.0,0,0,2,0,1,0,100.0
1518,Yanis Lhery,FRA,FWMF,Saint-Étienne,Ligue 1,19,5,72,0.0,0.0,0,0,0.0,0,0,0,15,11,73.33,11,2,2,106,0,0,0.0,1,2,1,50.0,1,1,100.0,0,0,1,1,2,4,33.33
1519,Dimitri Liénard,FRA,DFMF,Strasbourg,Ligue 1,34,33,2044,0.09,0.08,0,0,0.0,2,0,3,1437,1053,73.28,690,291,459,21801,116,26,22.41,37,68,31,54.41,13,17,76.47,8,0,35,27,22,25,46.86
1520,Philipp Lienhart,AUT,DF,Freiburg,Bundesliga,25,32,2870,0.16,0.26,0,0,0.0,5,0,0,1726,1487,86.15,1292,134,298,36465,6,0,0.0,13,24,11,54.17,3,4,75.0,2,0,19,30,94,57,62.24
1521,Matthijs de Ligt,NED,DF,Juventus,Serie A,22,31,2674,0.1,0.15,0,0,0.0,3,0,1,1663,1497,90.02,1348,107,209,33020,5,1,20.0,23,38,15,60.53,2,5,40.0,4,1,32,17,109,51,68.09
1522,Isaac Lihadji,FRA,MFFW,Lille,Ligue 1,20,13,238,0.38,0.33,0,0,0.0,1,0,3,96,68,70.83,72,11,13,1080,8,2,25.0,2,3,1,66.67,9,21,42.86,1,0,4,5,1,4,19.79
1523,Anderson Lima,BRA,MF,Lazio,Serie A,22,4,65,0.0,0.0,0,0,0.0,0,0,0,32,25,78.12,27,3,2,386,1,0,0.0,2,4,2,50.0,0,1,0.0,1,0,2,6,0,0,0.0
1524,Andreas Linde,SWE,GK,Greuther Fürth,Bundesliga,28,12,1080,0.0,0.0,0,0,0.0,0,0,0,502,324,64.54,240,17,245,9180,0,0,0.0,0,0,0,0.0,1,1,100.0,0,0,0,1,0,0,0.0
1525,Victor Lindelöf,SWE,DF,Manchester Utd,Premier League,27,28,2355,0.0,0.0,0,0,0.0,0,0,2,1294,1163,89.88,1038,111,147,24599,0,0,0.0,10,19,9,52.63,0,1,0.0,4,0,24,8,63,32,66.3
1526,Jesper Lindstrøm,DEN,FWMF,Eint Frankfurt,Bundesliga,22,29,1976,0.23,0.09,0,0,0.0,5,0,4,607,422,69.52,427,92,89,6798,48,5,10.42,21,31,10,67.74,33,72,45.83,0,0,26,15,10,51,16.25
1527,Karol Linetty,POL,MFFW,Torino,Serie A,27,16,896,0.0,0.0,0,0,0.0,0,0,0,284,227,79.93,195,46,43,3402,3,0,0.0,8,13,5,61.54,4,11,36.36,2,0,36,9,7,27,20.59
1528,Jesse Lingard,ENG,FWMF,Manchester Utd,Premier League,29,16,367,0.49,0.25,0,0,0.0,2,0,0,155,132,85.16,129,16,10,1872,8,0,0.0,6,11,5,54.55,2,9,22.22,1,0,6,5,0,1,0.0
1529,Pol Lirola,ESP,DFMF,Marseille,Ligue 1,24,34,1770,0.05,0.08,0,0,0.0,1,0,2,1127,912,80.92,755,234,136,15252,66,17,25.76,17,26,9,65.38,29,58,50.0,1,0,12,16,16,11,59.12
1530,Valentino Livramento,ENG,DF,Southampton,Premier League,19,28,2202,0.04,0.08,0,0,0.0,1,0,1,1154,882,76.43,691,217,247,14457,55,10,18.18,30,54,24,55.56,32,58,55.17,2,0,17,40,27,34,44.18
1531,Dejan Ljubicic,AUT,MFFW,Köln,Bundesliga,24,30,1969,0.14,0.1,0,0,0.0,3,0,1,729,517,70.92,488,112,130,9174,47,11,23.4,21,27,6,77.78,31,58,53.45,4,0,34,23,11,32,25.51
1532,Javier Llabrés,ESP,FWMF,Mallorca,La Liga,20,5,132,0.0,0.0,0,0,0.0,0,0,0,63,44,69.84,36,15,12,793,5,0,0.0,3,3,0,100.0,3,5,60.0,0,0,0,1,1,3,25.09
1533,Diego Llorente,ESP,DF,Leeds United,Premier League,28,28,2340,0.12,0.3,0,0,0.0,3,0,0,1344,1108,82.44,954,141,248,24632,2,0,0.0,35,56,21,62.5,9,11,81.82,7,0,29,27,64,64,50.0
1534,Marcos Llorente,ESP,DFMF,Atlético Madrid,La Liga,27,29,2447,0.0,0.0,0,0,0.0,0,0,2,1322,1061,80.26,884,244,193,16937,74,12,16.22,33,52,19,63.46,18,28,64.29,5,0,30,27,25,29,46.23
1535,Hugo Lloris,FRA,GK,Tottenham,Premier League,35,38,3420,0.0,0.0,0,0,0.0,0,0,0,942,745,79.09,543,41,359,20372,0,0,0.0,0,0,0,0.0,0,0,0.0,2,0,0,3,0,1,0.0
1536,Giovani Lo Celso,ARG,MFFW,Tottenham,Premier League,26,9,238,0.0,0.0,0,0,0.0,0,0,0,148,117,79.05,113,19,16,1855,1,0,0.0,3,8,5,37.5,6,8,75.0,0,0,5,7,0,3,0.0
1537,Giovani Lo Celso,ARG,FWMF,Villarreal,La Liga,26,16,994,0.09,0.05,0,0,0.0,1,0,1,539,438,81.26,409,70,60,7772,7,1,14.29,14,18,4,77.78,19,39,48.72,3,0,21,48,6,7,46.22
1538,Julen Lobete,ESP,FWMF,Real Sociedad,La Liga,21,13,284,0.63,0.2,0,0,0.0,2,0,0,59,45,76.27,49,6,4,534,0,0,0.0,3,4,1,75.0,3,11,27.27,0,0,8,13,4,9,30.79
1539,Stanislav Lobotka,SVK,MF,Napoli,Serie A,27,23,1686,0.05,0.5,0,0,0.0,1,0,0,1444,1345,93.14,1268,77,99,22513,1,0,0.0,30,40,10,75.0,11,13,84.62,2,0,18,42,13,12,52.24
1540,Jürgen Locadia,NED,FWMF,Bochum,Bundesliga,28,11,444,0.41,0.06,1,1,100.0,2,0,1,123,97,78.86,81,23,19,1722,3,1,33.33,5,5,0,100.0,2,4,50.0,0,0,11,9,12,27,30.78
1541,Jürgen Locadia,NED,FW,Brighton,Premier League,28,1,23,0.0,0.0,0,0,0.0,0,0,0,3,2,66.67,3,0,0,43,0,0,0.0,1,1,0,100.0,1,1,100.0,0,0,1,1,0,0,0.0
1542,Manuel Locatelli,ITA,MF,Juventus,Serie A,24,31,2160,0.13,0.14,0,0,0.0,3,0,3,1442,1238,85.85,1094,110,238,25579,8,1,12.5,31,46,15,67.39,16,20,80.0,6,0,42,29,35,26,57.48
1543,Banzouzi Locko,FRA,DFMF,Reims,Ligue 1,20,24,1011,0.09,0.14,0,0,0.0,1,0,1,463,362,78.19,290,93,80,6100,11,2,18.18,18,27,9,66.67,12,16,75.0,4,0,17,12,15,16,48.38
1544,Renan Lodi,BRA,DF,Atlético Madrid,La Liga,24,29,1181,0.15,0.2,0,0,0.0,2,0,2,641,502,78.32,376,138,127,8267,41,5,12.2,17,32,15,53.12,17,34,50.0,4,0,23,24,24,28,46.1
1545,Ruben Loftus-Cheek,ENG,MFDF,Chelsea,Premier League,26,24,1394,0.0,0.0,0,0,0.0,0,0,2,969,877,90.51,801,100,66,15040,10,0,0.0,20,31,11,64.52,35,53,66.04,1,0,24,51,41,12,77.49
1546,Kevin Long,IRL,DF,Burnley,Premier League,31,6,410,0.0,0.0,0,0,0.0,0,0,0,98,80,81.63,63,9,26,1912,0,0,0.0,5,6,1,83.33,0,0,0.0,1,0,6,1,14,4,77.75
1547,Shane Long,IRL,FW,Southampton,Premier League,35,13,308,0.29,0.11,0,0,0.0,1,0,0,75,46,61.33,33,21,21,492,4,0,0.0,3,8,5,37.5,2,5,40.0,1,0,9,9,27,27,50.0
1548,Sean Longstaff,ENG,MF,Newcastle Utd,Premier League,24,24,1464,0.06,0.07,0,0,0.0,1,0,1,606,491,81.02,434,72,100,9524,5,0,0.0,33,51,18,64.71,3,5,60.0,1,0,26,20,14,15,48.31
1549,Ademola Lookman,NGA,FWMF,Leicester City,Premier League,24,26,1453,0.37,0.22,0,0,0.0,6,0,0,536,419,78.17,449,50,37,5738,22,4,18.18,25,41,16,60.98,40,65,61.54,2,0,30,40,4,17,19.08
1550,Anthony Lopes,POR,GK,Lyon,Ligue 1,31,34,2982,0.0,0.0,0,0,0.0,0,0,0,1125,947,84.18,735,55,338,26215,0,0,0.0,0,0,0,0.0,0,0,0.0,1,1,0,4,0,1,0.0
1551,David López,ESP,MFDF,Espanyol,La Liga,32,18,743,0.0,0.0,0,0,0.0,0,0,0,422,362,85.78,316,39,67,6494,0,0,0.0,17,25,8,68.0,4,4,100.0,1,0,12,7,26,26,50.0
1552,Diego López,ESP,GK,Espanyol,La Liga,40,36,3177,0.0,0.0,0,0,0.0,0,0,0,1144,837,73.16,597,73,477,24438,0,0,0.0,0,0,0,0.0,0,0,0.0,4,0,0,6,0,0,0.0
1553,Javi López,ESP,DF,Alavés,La Liga,20,9,462,0.0,0.0,0,0,0.0,0,0,0,205,156,76.1,112,34,59,3113,10,2,20.0,7,10,3,70.0,3,9,33.33,2,0,8,12,3,6,33.33
1554,Maxime Lopez,FRA,MF,Sassuolo,Serie A,24,35,2938,0.06,0.13,0,0,0.0,2,0,1,2569,2357,91.75,2168,189,212,40933,12,3,25.0,45,67,22,67.16,24,43,55.81,14,0,41,34,7,9,42.86
1555,Pau López,ESP,GK,Marseille,Ligue 1,27,29,2610,0.0,0.0,0,0,0.0,0,0,1,1325,1125,84.91,948,46,331,28713,0,0,0.0,0,0,0,0.0,0,0,0.0,4,0,0,3,0,0,0.0
1556,Unai López,ESP,MF,Rayo Vallecano,La Liga,26,27,1160,0.0,0.0,0,0,0.0,0,0,0,818,667,81.54,541,102,175,13951,12,1,8.33,18,28,10,64.29,13,25,52.0,5,0,31,22,9,21,30.04
1557,Dion Lopy,SEN,MF,Reims,Ligue 1,20,26,1642,0.0,0.0,0,0,0.0,0,0,0,628,541,86.15,466,79,83,10236,0,0,0.0,38,58,20,65.52,18,31,58.06,4,0,41,19,20,19,51.4
1558,Samuel Loric,FRA,DF,Lorient,Ligue 1,21,3,269,0.0,0.0,0,0,0.0,0,0,0,128,88,68.75,59,41,28,1430,10,2,20.0,3,7,4,42.86,4,9,44.44,0,0,4,5,12,1,92.38
1559,Anthony Losilla,FRA,MF,Bochum,Bundesliga,36,33,2935,0.06,0.06,0,0,0.0,2,0,0,1268,998,78.71,724,220,324,21718,9,2,22.22,56,86,30,65.12,19,36,52.78,5,0,55,23,133,69,65.81
1560,Jonas Lössl,DEN,GK,Brentford,Premier League,33,2,180,0.0,0.0,0,0,0.0,0,0,0,62,44,70.97,29,4,29,1361,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
1561,Marcel Lotka,POL,GK,Hertha BSC,Bundesliga,21,10,885,0.0,0.0,0,0,0.0,0,0,0,342,211,61.7,128,11,203,7861,0,0,0.0,0,0,0,0.0,0,0,0.0,1,0,0,5,0,0,0.0
1562,Jordan Lotomba,SUI,DF,Nice,Ligue 1,23,30,1782,0.0,0.0,0,0,0.0,0,0,0,1004,822,81.87,645,189,169,13329,38,11,28.95,17,35,18,48.57,18,38,47.37,4,0,12,25,16,17,48.5
1563,Johaneko Louisjean,FRA,DF,Bordeaux,Ligue 1,17,1,12,0.0,0.0,0,0,0.0,0,0,0,6,5,83.33,5,0,1,94,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0.0
1564,Imran Louza,MAR,MF,Watford,Premier League,23,20,1416,0.0,0.0,0,0,0.0,0,0,0,716,535,74.72,421,88,207,10966,19,1,5.26,32,51,19,62.75,13,27,48.15,6,0,35,17,11,17,39.33
1565,Matteo Lovato,ITA,DFMF,Atalanta,Serie A,22,6,305,0.0,0.0,0,0,0.0,0,0,0,196,167,85.2,150,15,31,3263,1,0,0.0,3,6,3,50.0,1,3,33.33,1,0,5,2,14,3,82.4
1566,Matteo Lovato,ITA,DF,Cagliari,Serie A,22,16,1238,0.0,0.0,0,0,0.0,0,0,0,581,484,83.3,397,55,129,11028,0,0,0.0,23,28,5,82.14,4,6,66.67,4,0,16,16,37,29,56.07
1567,Eduard Löwen,GER,MF,Bochum,Bundesliga,25,26,1416,0.13,0.03,1,1,100.0,2,0,2,678,447,65.93,338,113,228,9087,37,5,13.51,26,35,9,74.29,17,37,45.95,0,0,22,13,29,36,44.69
1568,Matthew Lowton,ENG,DF,Burnley,Premier League,32,25,1772,0.05,0.1,0,0,0.0,1,0,2,871,599,68.77,355,203,313,11984,39,8,20.51,26,45,19,57.78,9,15,60.0,3,1,18,8,31,26,54.33
1569,Anthony Lozano,HON,FWMF,Cádiz,La Liga,29,31,1672,0.38,0.14,0,0,0.0,7,0,2,303,186,61.39,171,62,70,2727,23,3,13.04,9,11,2,81.82,25,49,51.02,8,0,49,42,51,78,39.54
1570,Hirving Lozano,MEX,FW,Napoli,Serie A,26,30,1613,0.28,0.1,0,0,0.0,5,0,5,598,467,78.09,449,84,64,7232,43,15,34.88,14,30,16,46.67,25,40,62.5,3,0,32,39,11,18,37.65
1571,Jean Lucas,BRA,MF,Monaco,Ligue 1,23,28,1445,0.06,0.04,0,0,0.0,1,0,1,828,655,79.11,599,88,140,12403,32,4,12.5,36,52,16,69.23,33,48,68.75,3,1,33,27,12,31,27.99
1572,Anderson Lucoqui,ANG,DF,Mainz 05,Bundesliga,24,13,743,0.12,0.13,0,0,0.0,1,0,0,241,153,63.49,106,52,83,2791,11,2,18.18,17,24,7,70.83,1,7,14.29,2,0,17,16,5,8,38.46
1573,José Luis Gayà,ESP,DF,Valencia,La Liga,27,24,1871,0.1,0.11,0,0,0.0,2,0,4,884,643,72.74,399,188,297,12906,62,17,27.42,12,32,20,37.5,15,26,57.69,8,2,35,23,15,27,35.64
1574,José Luis Morales,ESP,FWMF,Levante,La Liga,34,35,2719,0.43,0.13,3,5,60.0,13,0,7,779,519,66.62,471,158,151,9247,77,12,15.58,16,25,9,64.0,60,131,45.8,7,0,33,46,22,35,38.62
1575,José Luis Palomino,ARG,DF,Atalanta,Serie A,32,34,2672,0.03,0.07,0,0,0.0,1,0,0,1648,1363,82.71,1140,187,321,28916,7,1,14.29,66,99,33,66.67,2,4,50.0,9,0,39,20,135,52,72.22
1576,Florentino Luís,POR,MF,Getafe,La Liga,22,22,992,0.0,0.0,0,0,0.0,0,0,1,438,352,80.37,298,59,81,6323,3,0,0.0,27,42,15,64.29,4,8,50.0,2,0,28,4,26,22,54.13
1577,Luismi,ESP,FW,Sevilla,La Liga,21,2,13,0.0,0.0,0,0,0.0,0,0,0,9,6,66.67,6,3,0,87,0,0,0.0,0,0,0,0.0,1,1,100.0,0,0,0,0,0,0,0.0
1578,Douglas Luiz,BRA,MF,Aston Villa,Premier League,24,34,2715,0.07,0.09,0,0,0.0,2,0,3,1495,1247,83.41,1075,155,264,23909,27,2,7.41,43,64,21,67.19,15,35,42.86,7,0,51,45,37,31,54.42
1579,Romelu Lukaku,BEL,FW,Chelsea,Premier League,29,26,1589,0.45,0.17,1,1,100.0,8,0,0,320,234,73.12,216,62,42,2993,9,0,0.0,3,5,2,60.0,15,29,51.72,1,0,8,14,48,50,49.01
1580,Castello Lukeba,FRA,DF,Lyon,Ligue 1,19,24,2095,0.09,0.33,0,0,0.0,2,0,0,1654,1510,91.29,1452,76,126,30805,0,0,0.0,20,37,17,54.05,11,14,78.57,1,0,19,16,57,39,59.47
1581,Dodi Lukebakio,BEL,FW,Hertha BSC,Bundesliga,24,3,176,0.5,0.0,1,1,100.0,1,0,0,36,27,75.0,24,8,4,480,1,0,0.0,4,4,0,100.0,4,8,50.0,0,0,6,6,2,2,50.0
1582,Dodi Lukebakio,BEL,FWMF,Wolfsburg,Bundesliga,24,19,882,0.1,0.06,0,0,0.0,1,0,2,297,229,77.1,218,33,46,3863,17,4,23.53,4,11,7,36.36,25,43,58.14,2,0,16,15,16,15,51.58
1583,Saa Luki?,SRB,MF,Torino,Serie A,25,35,2982,0.15,0.07,3,3,100.0,5,0,4,1771,1549,87.46,1384,177,211,29598,20,2,10.0,36,57,21,63.16,21,31,67.74,10,0,91,57,49,66,42.65
1584,Levi Lumeka,ENG,DFFW,Troyes,Ligue 1,23,5,67,0.0,0.0,0,0,0.0,0,0,0,17,10,58.82,12,2,3,178,3,1,33.33,0,0,0,0.0,3,3,100.0,0,0,2,1,0,2,0.0
1585,Andriy Lunin,UKR,GK,Real Madrid,La Liga,23,2,180,0.0,0.0,0,0,0.0,0,0,0,82,72,87.8,65,2,15,1683,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0.0
1586,Andrey Lunyov,RUS,GK,Leverkusen,Bundesliga,30,1,90,0.0,0.0,0,0,0.0,0,0,0,49,43,87.76,36,3,10,1019,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
1587,Sebastiano Luperto,ITA,DF,Empoli,Serie A,25,24,1958,0.0,0.0,0,0,0.0,0,0,1,970,826,85.15,732,60,179,17968,2,0,0.0,19,30,11,63.33,1,2,50.0,8,1,33,7,55,54,50.4
1588,Andreas Luthe,GER,GK,Union Berlin,Bundesliga,35,27,2430,0.0,0.0,0,0,0.0,0,0,0,999,651,65.17,454,42,502,20760,0,0,0.0,0,0,0,0.0,0,0,0.0,3,0,1,3,0,0,0.0
1589,Lyanco,BRA,DF,Southampton,Premier League,25,15,911,0.0,0.0,0,0,0.0,0,0,0,369,277,75.07,240,32,97,6108,3,0,0.0,14,17,3,82.35,6,7,85.71,2,0,16,8,21,15,58.26
1590,Charalambos Lykogiannis,GRE,DF,Cagliari,Serie A,28,28,1817,0.05,0.05,0,0,0.0,1,0,0,758,475,62.66,297,157,303,9433,56,7,12.5,15,26,11,57.69,10,19,52.63,2,0,28,13,48,33,59.35
1591,Yannis M'Bemba,FRA,DFFW,Nantes,Ligue 1,20,2,5,0.0,0.0,0,0,0.0,0,0,0,5,4,80.0,4,0,1,62,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,100.0
1592,Alexis Mac Allister,ARG,MFFW,Brighton,Premier League,23,33,2123,0.21,0.05,2,3,66.67,5,0,2,1081,878,81.22,781,124,175,16475,21,3,14.29,51,73,22,69.86,18,39,46.15,4,0,38,47,28,29,49.17
